代码,名称,实际控制人,类型,总市值(亿)
600420,国药现代,国务院国有资产监督管理委员会,国务院国资委(直接),114.3
601096,宏盛华源,国务院国有资产监督管理委员会,国务院国资委(直接),112.1
600006,东风股份,国务院国有资产监督管理委员会,国务院国资委(直接),107.6
600268,国电南自,国务院国有资产监督管理委员会,国务院国资委(直接),106.6
002063,远光软件,国务院国有资产监督管理委员会,国务院国资委(直接),105.4
000031,大悦城,国务院国有资产监督管理委员会,国务院国资委(直接),101.6
600787,中储股份,国务院国有资产监督管理委员会,国务院国资委(直接),101.3
688811,有研复材,国务院国有资产监督管理委员会,国务院国资委(直接),101.1
600198,大唐电信,国务院国有资产监督管理委员会,国务院国资委(直接),100.1
000922,佳电股份,国务院国有资产监督管理委员会,国务院国资委(直接),99.9
000950,重药控股,国务院国有资产监督管理委员会,国务院国资委(直接),92.7
300516,久之洋,国务院国有资产监督管理委员会,国务院国资委(直接),90.4
600640,国脉文化,国务院国有资产监督管理委员会,国务院国资委(直接),90.4
688128,中国电研,国务院国有资产监督管理委员会,国务院国资委(直接),89.5
300188,国投智能,国务院国有资产监督管理委员会,国务院国资委(直接),89.0
601718,ST际华,国务院国有资产监督管理委员会,国务院国资委(直接),88.1
000928,中钢国际,国务院国有资产监督管理委员会,国务院国资委(直接),85.5
002039,黔源电力,国务院国有资产监督管理委员会,国务院国资委(直接),82.0
600335,国机汽车,国务院国有资产监督管理委员会,国务院国资委(直接),78.7
600917,重庆燃气,国务院国有资产监督管理委员会,国务院国资委(直接),77.9
603082,北自科技,国务院国有资产监督管理委员会,国务院国资委(直接),77.0
601226,华电科工,国务院国有资产监督管理委员会,国务院国资委(直接),76.0
603128,华贸物流,国务院国有资产监督管理委员会,国务院国资委(直接),75.1
301215,中汽股份,国务院国有资产监督管理委员会,国务院国资委(直接),71.6
002057,中钢天源,国务院国有资产监督管理委员会,国务院国资委(直接),67.8
600962,国投中鲁,国务院国有资产监督管理委员会,国务院国资委(直接),66.4
300197,节能铁汉,国务院国有资产监督管理委员会,国务院国资委(直接),64.3
000566,海南海药,国务院国有资产监督管理委员会,国务院国资委(直接),64.2
688570,天玛智控,国务院国有资产监督管理委员会,国务院国资委(直接),64.1
600501,航天晨光,国务院国有资产监督管理委员会,国务院国资委(直接),64.0
002059,云南旅游,国务院国有资产监督管理委员会,国务院国资委(直接),63.0
600230,沧州大化,国务院国有资产监督管理委员会,国务院国资委(直接),61.5
300087,ST荃银,国务院国有资产监督管理委员会,国务院国资委(直接),60.8
688562,航天软件,国务院国有资产监督管理委员会,国务院国资委(直接),59.2
688334,西高院,国务院国有资产监督管理委员会,国务院国资委(直接),58.2
000713,国投丰乐,国务院国有资产监督管理委员会,国务院国资委(直接),57.1
688151,华强科技,国务院国有资产监督管理委员会,国务院国资委(直接),56.3
301508,中机认检,国务院国有资产监督管理委员会,国务院国资委(直接),56.2
000852,石化机械,国务院国有资产监督管理委员会,国务院国资委(直接),56.0
000920,沃顿科技,国务院国有资产监督管理委员会,国务院国资委(直接),53.6
002189,中光学,国务院国有资产监督管理委员会,国务院国资委(直接),50.5
300523,辰安科技,国务院国有资产监督管理委员会,国务院国资委(直接),50.4
300797,钢研纳克,国务院国有资产监督管理委员会,国务院国资委(直接),50.2
600379,宝光股份,国务院国有资产监督管理委员会,国务院国资委(直接),48.1
300388,节能国祯,国务院国有资产监督管理委员会,国务院国资委(直接),48.1
600469,风神股份,国务院国有资产监督管理委员会,国务院国资委(直接),46.7
002401,中远海科,国务院国有资产监督管理委员会,国务院国资委(直接),45.9
688119,中钢洛耐,国务院国有资产监督管理委员会,国务院国资委(直接),44.8
600101,明星电力,国务院国有资产监督管理委员会,国务院国资委(直接),43.0
300847,中船汉光,国务院国有资产监督管理委员会,国务院国资委(直接),42.2
603126,中材节能,国务院国有资产监督管理委员会,国务院国资委(直接),39.1
600980,北矿科技,国务院国有资产监督管理委员会,国务院国资委(直接),37.4
000736,中交发展,国务院国有资产监督管理委员会,国务院国资委(直接),36.6
600579,中化装备,国务院国有资产监督管理委员会,国务院国资委(直接),36.5
000151,中成股份,国务院国有资产监督管理委员会,国务院国资委(直接),36.5
300962,中金辐照,国务院国有资产监督管理委员会,国务院国资委(直接),35.1
688509,正元地信,国务院国有资产监督管理委员会,国务院国资委(直接),32.6
000698,ST沈化,国务院国有资产监督管理委员会,国务院国资委(直接),30.3
688285,高铁电气,国务院国有资产监督管理委员会,国务院国资委(直接),28.9
300374,中铁装配,国务院国有资产监督管理委员会,国务院国资委(直接),28.2
000985,大庆华科,国务院国有资产监督管理委员会,国务院国资委(直接),23.0
000663,永安林业,国务院国有资产监督管理委员会,国务院国资委(直接),21.3
600444,国机通用,国务院国有资产监督管理委员会,国务院国资委(直接),21.1
002205,国统股份,国务院国有资产监督管理委员会,国务院国资委(直接),21.0
600099,林海股份,国务院国有资产监督管理委员会,国务院国资委(直接),20.6
600941,中国移动,中国移动通信集团有限公司,国务院国资委(经央企集团),21157.3
600938,中国海油,中国海洋石油集团有限公司,国务院国资委(经央企集团),16003.3
600028,中国石化,中国石油化工集团有限公司,国务院国资委(经央企集团),6650.9
002415,海康威视,中国电子科技集团有限公司,国务院国资委(经央企集团),3003.3
600150,中国船舶,中国船舶集团有限公司,国务院国资委(经央企集团),2944.0
002916,深南电路,中国航空工业集团有限公司,国务院国资委(经央企集团),2642.2
600176,中国巨石,中国建材集团有限公司,国务院国资委(经央企集团),1688.1
302132,中航成飞,中国航空工业集团有限公司,国务院国资委(经央企集团),1668.5
600930,华电新能,中国华电集团有限公司,国务院国资委(经央企集团),1647.7
001248,华润新能,中国华润有限公司,国务院国资委(经央企集团),1607.9
600999,招商证券,招商局集团有限公司,国务院国资委(经央企集团),1575.8
601872,招商轮船,招商局集团有限公司,国务院国资委(经央企集团),1530.1
002281,光迅科技,中国信息通信科技集团有限公司,国务院国资委(经央企集团),1506.7
000792,盐湖股份,中国五矿集团有限公司,国务院国资委(经央企集团),1413.4
000657,中钨高新,中国五矿集团有限公司,国务院国资委(经央企集团),1379.0
001280,中国铀业,中国核工业集团有限公司,国务院国资委(经央企集团),1366.4
600760,中航沈飞,中国航空工业集团有限公司,国务院国资委(经央企集团),1353.7
600584,长电科技,中国华润有限公司,国务院国资委(经央企集团),1239.7
